,gra_prof,gra_tydz_weekend,gra_typ,gra_platforma,gra_klan,gra_grind,pandemia_start,pandemia_gra_wiecej,pandemia_czas,pozytyw_ucieczka,pozytyw_samokontrola,pozytyw_koncentracja,pozytyw_koordynacja,negatyw_gra_pomimo_konsekwencji,negatyw_gra_dluzej,negatyw_gra_nad_inne_aktywnosci,negatyw_zaniedbania,negatyw_gniew,tow_kontakty,tow_inni_sie_przejmuja,tow_brak_towarzystwa,tow_izolacja,tow_przytloczenie,rok,zwiazek,praca,WynikLudzki
33,nie,18,offline,pc,nie,tak,poza,nie,tak,nie,nie,1,3,rzadko,czasami,nigdy,rzadko,czasami,4,czasami,czasami,rzadko,czasami,3,tak,tak,0
34,nie,50,online,mobile,tak,tak,poza,nie,tak,tak,tak,5,5,czasami,czesto,czasami,czesto,czasami,4,rzadko,rzadko,rzadko,nigdy,1,tak,tak,1
35,nie,21,online,mobile,tak,tak,w_czasie,tak,tak,tak,tak,3,3,rzadko,rzadko,nigdy,rzadko,rzadko,5,nigdy,rzadko,rzadko,nigdy,3,tak,nie,0
36,nie,35,online,mobile,tak,tak,poza,tak,tak,tak,tak,4,4,rzadko,czasami,nigdy,nigdy,rzadko,5,rzadko,nigdy,nigdy,nigdy,1,nie,nie,1
37,nie,17,online,mobile,tak,tak,poza,nie,tak,nie,nie,4,2,rzadko,czesto,rzadko,czasami,czesto,4,czasami,czasami,rzadko,czasami,3,tak,nie,0
38,nie,50,online,pc,tak,nie,poza,nie,nie,tak,tak,5,5,czasami,czesto,rzadko,czasami,rzadko,5,nigdy,nigdy,nigdy,nigdy,3,tak,tak,0
39,nie,28,online,pc,tak,tak,poza,tak,tak,tak,nie,4,3,rzadko,czesto,czesto,zawsze,czesto,4,nigdy,czasami,nigdy,nigdy,1,-,tak,1
40,nie,50,online,pc,nie,nie,poza,tak,tak,tak,tak,4,4,rzadko,czasami,rzadko,rzadko,czasami,4,rzadko,nigdy,nigdy,nigdy,3,tak,tak,0
41,nie,63,offline,pc,nie,nie,poza,nie,tak,tak,tak,4,4,nigdy,czasami,nigdy,rzadko,czasami,4,rzadko,rzadko,rzadko,nigdy,3,nie,nie,0
42,nie,29,online,pc,nie,tak,poza,nie,tak,tak,tak,5,5,rzadko,czasami,rzadko,czasami,rzadko,5,nigdy,nigdy,nigdy,rzadko,3,nie,nie,0
